student_type,learning_rate,MSE,MAE
improving,0.1,0.022833497076627032,0.13584831267977687
improving,0.2,0.012133318761912626,0.10359460619560162
improving,0.3,0.007178114047152714,0.0800170102223433
improving,0.4,0.00470952258868008,0.06407123878825816
improving,0.5,0.00336225061836801,0.053628433629086134
improving,0.6,0.002579853067549005,0.04584880188121181
improving,0.7,0.0021158116418454344,0.03983131861725787
improving,0.8,0.0018499277691580729,0.03757974825399004
improving,0.9,0.0017183037163671312,0.03711519849258148
strong,0.1,0.03656884971708196,0.16805925653748865
strong,0.2,0.01618157002967351,0.08989708898466921
strong,0.3,0.00936052457790394,0.06126894921521188
strong,0.4,0.006066588345056992,0.04858690293940315
strong,0.5,0.004184045791602329,0.041053570195248267
strong,0.6,0.003020804699257151,0.03807616383713986
strong,0.7,0.002287893905652537,0.03597169293203537
strong,0.8,0.0018479672564451456,0.03477268518399159
strong,0.9,0.001633541234052868,0.03572995525063799
struggling,0.1,0.005890065332291946,0.06120353667282469
struggling,0.2,0.003481673089151338,0.04633402553965131
struggling,0.3,0.0027885024891806756,0.04301795728639092
struggling,0.4,0.0025670159321518294,0.04213466259083535
struggling,0.5,0.0025606797252223533,0.04349855222200092
struggling,0.6,0.002691571067463804,0.04530237382846274
struggling,0.7,0.002935895776245848,0.04806828711373554
struggling,0.8,0.0032939188813031566,0.052357688407655034
struggling,0.9,0.003781045215693085,0.05718388769183706
inconsistent,0.1,0.07300818415294937,0.25706911653413317
inconsistent,0.2,0.080446414739662,0.2720749783642815
inconsistent,0.3,0.08988803053610935,0.28849066030369214
inconsistent,0.4,0.1012206496935751,0.30683897576562674
inconsistent,0.5,0.11479210774228567,0.3275262953105726
inconsistent,0.6,0.13119177369467505,0.3510483733113135
inconsistent,0.7,0.15128190246397202,0.37804931697135447
inconsistent,0.8,0.1763058522404676,0.40937883993457486
inconsistent,0.9,0.20808260826960967,0.4461761091186337
