student_type,assessment,performance,learning_rate,old_mastery,new_mastery
improving,1,0.3,0.1,0.5,0.48
improving,2,0.35,0.1,0.48,0.46699999999999997
improving,3,0.4,0.1,0.46699999999999997,0.4603
improving,4,0.38,0.1,0.4603,0.45227
improving,5,0.45,0.1,0.45227,0.45204300000000003
improving,6,0.5,0.1,0.45204300000000003,0.45683870000000004
improving,7,0.48,0.1,0.45683870000000004,0.45915483
improving,8,0.55,0.1,0.45915483,0.46823934700000003
improving,9,0.6,0.1,0.46823934700000003,0.4814154123
improving,10,0.58,0.1,0.4814154123,0.49127387107
improving,11,0.65,0.1,0.49127387107,0.507146483963
improving,12,0.68,0.1,0.507146483963,0.5244318355667
improving,13,0.7,0.1,0.5244318355667,0.54198865201003
improving,14,0.72,0.1,0.54198865201003,0.559789786809027
improving,15,0.75,0.1,0.559789786809027,0.5788108081281244
improving,16,0.78,0.1,0.5788108081281244,0.5989297273153119
improving,17,0.8,0.1,0.5989297273153119,0.6190367545837807
improving,18,0.82,0.1,0.6190367545837807,0.6391330791254026
improving,19,0.85,0.1,0.6391330791254026,0.6602197712128623
improving,20,0.88,0.1,0.6602197712128623,0.6821977940915761
improving,1,0.3,0.2,0.5,0.45999999999999996
improving,2,0.35,0.2,0.45999999999999996,0.43799999999999994
improving,3,0.4,0.2,0.43799999999999994,0.43039999999999995
improving,4,0.38,0.2,0.43039999999999995,0.42031999999999997
improving,5,0.45,0.2,0.42031999999999997,0.42625599999999997
improving,6,0.5,0.2,0.42625599999999997,0.4410048
improving,7,0.48,0.2,0.4410048,0.44880383999999995
improving,8,0.55,0.2,0.44880383999999995,0.46904307199999995
improving,9,0.6,0.2,0.46904307199999995,0.49523445759999996
improving,10,0.58,0.2,0.49523445759999996,0.5121875660799999
improving,11,0.65,0.2,0.5121875660799999,0.5397500528639999
improving,12,0.68,0.2,0.5397500528639999,0.5678000422912
improving,13,0.7,0.2,0.5678000422912,0.59424003383296
improving,14,0.72,0.2,0.59424003383296,0.619392027066368
improving,15,0.75,0.2,0.619392027066368,0.6455136216530943
improving,16,0.78,0.2,0.6455136216530943,0.6724108973224755
improving,17,0.8,0.2,0.6724108973224755,0.6979287178579804
